target,test_family,n_obs,partial_r,permutation_p,fdr_q,top_term,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_nrem_ila_theta_whole_slice_norm,perf_pct_partial,468,0.11227844904769334,0.2007992007992008,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ILA,ila,theta,theta,whole_slice_norm
state_nrem_mos_delta_whole_slice_norm,perf_pct_partial,468,0.12800211184544882,0.2037962037962038,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,delta,delta,whole_slice_norm
state_wake_mos_gamma_whole_slice_norm,perf_pct_partial,526,0.16370762750457993,0.21578421578421578,0.8354145854145855,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,gamma,gamma,whole_slice_norm
state_working_ila_theta_whole_slice_norm,perf_pct_partial,204,-0.18387591301778364,0.22077922077922077,0.8354145854145855,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,theta,theta,whole_slice_norm
state_wake_mos_gamma_whole_slice_norm,bias_score_partial,526,0.17762414089243148,0.22277722277722278,0.8354145854145855,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,gamma,gamma,whole_slice_norm
lfp_mos_gamma_whole_slice_norm,perf_pct_partial,526,0.166941282805738,0.24475524475524477,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,gamma,gamma,whole_slice_norm
state_nrem_ila_gamma_whole_slice_norm,perf_pct_partial,468,0.11907981519448675,0.2597402597402597,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ILA,ila,gamma,gamma,whole_slice_norm
state_rem_acad_gamma_whole_slice_norm,perf_pct_partial,350,-0.12526220578477026,0.27472527472527475,0.8730891749759675,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,gamma,gamma,whole_slice_norm
state_rem_acad_theta_whole_slice_norm,bias_score_partial,350,0.09172752085187484,0.2867132867132867,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,theta,theta,whole_slice_norm
state_nrem_mos_theta_whole_slice_norm,bias_score_partial,468,0.1576071671143443,0.2917082917082917,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,theta,theta,whole_slice_norm
state_wake_ila_gamma_whole_slice_norm,bias_score_partial,526,0.12028194220725472,0.3016983016983017,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,ILA,ila,gamma,gamma,whole_slice_norm
state_working_acad_theta_whole_slice_norm,bias_score_partial,204,-0.14001559550276885,0.3046953046953047,0.8730891749759675,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,theta,theta,whole_slice_norm
state_working_pl_theta_whole_slice_norm,bias_score_partial,204,-0.11671400996312759,0.31368631368631367,0.8730891749759675,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,theta,theta,whole_slice_norm
state_rem_pl_gamma_whole_slice_norm,perf_pct_partial,350,0.11886832489419125,0.3166833166833167,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,PL,pl,gamma,gamma,whole_slice_norm
state_nrem_ila_delta_whole_slice_norm,perf_pct_partial,468,0.07484964091566013,0.3226773226773227,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ILA,ila,delta,delta,whole_slice_norm
state_wake_mos_theta_whole_slice_norm,bias_score_partial,526,0.10690392623191797,0.34265734265734266,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,theta,theta,whole_slice_norm
state_rem_acad_theta_whole_slice_norm,perf_pct_partial,350,-0.07311926579079579,0.3436563436563437,0.8730891749759675,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,theta,theta,whole_slice_norm
state_rem_ila_gamma_whole_slice_norm,bias_score_partial,350,0.10899509838269297,0.34865134865134867,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,gamma,gamma,whole_slice_norm
state_rem_mos_delta_whole_slice_norm,bias_score_partial,350,0.06994898842921596,0.3516483516483517,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,delta,delta,whole_slice_norm
state_nrem_acad_gamma_whole_slice_norm,bias_score_partial,468,0.0996010841103641,0.3596403596403596,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,gamma,gamma,whole_slice_norm
state_nrem_pl_delta_whole_slice_norm,perf_pct_partial,468,0.0653229292526241,0.36163836163836166,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,delta,delta,whole_slice_norm
state_rem_mos_delta_whole_slice_norm,perf_pct_partial,350,0.0721443836647083,0.36363636363636365,0.8730891749759675,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,delta,delta,whole_slice_norm
state_nrem_acad_theta_whole_slice_norm,perf_pct_partial,468,-0.0779494275502198,0.37162837162837165,0.8730891749759675,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,theta,theta,whole_slice_norm
state_nrem_pl_delta_whole_slice_norm,bias_score_partial,468,0.06489216043421961,0.3726273726273726,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,delta,delta,whole_slice_norm
state_rem_acad_gamma_whole_slice_norm,bias_score_partial,350,0.10924175762346366,0.38461538461538464,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_mos_gamma_whole_slice_norm,bias_score_partial,526,0.13044718478741166,0.3856143856143856,0.8730891749759675,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,gamma,gamma,whole_slice_norm
state_rem_ila_theta_whole_slice_norm,bias_score_partial,350,0.06254581212976942,0.41358641358641357,0.919080919080919,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,theta,theta,whole_slice_norm
lfp_ila_gamma_whole_slice_norm,bias_score_partial,526,0.09548994913973372,0.43456543456543456,0.9481427663245845,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_ila_gamma_whole_slice_norm,bias_score_partial,468,0.08332116898348688,0.45054945054945056,0.9611441190388559,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_acad_gamma_whole_slice_norm,perf_pct_partial,468,-0.08845103999684659,0.4565434565434565,0.9611441190388559,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_pl_gamma_whole_slice_norm,perf_pct_partial,526,-0.07850439646567538,0.4875124875124875,0.9644087256027554,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,gamma,gamma,whole_slice_norm
